iter	MultiClass
0	1.006372849
1	0.9338929675
2	0.8773629831
3	0.8301411414
4	0.7920700447
5	0.7604519748
6	0.7341690111
7	0.711161235
8	0.6916291802
9	0.6748848451
10	0.6607076519
11	0.6481582008
12	0.6375508506
13	0.628766829
14	0.6215544374
15	0.6147287741
16	0.6090191088
17	0.6037258531
18	0.5991683494
19	0.595309001
20	0.5916864063
21	0.5882721901
22	0.5856327873
23	0.5832626893
24	0.5810899471
25	0.5794481332
26	0.5776004297
27	0.5761934042
28	0.5746716552
29	0.5734620692
30	0.5721157802
31	0.5709713179
32	0.5702976966
33	0.5693072579
34	0.5682402106
35	0.5673443627
36	0.5666437894
37	0.5659338836
38	0.56527942
39	0.5648548889
40	0.5640900496
41	0.5635585911
42	0.5631163364
43	0.5627070549
44	0.5623273004
45	0.5615739496
46	0.5611525526
47	0.5608784431
48	0.5606122359
49	0.5601130005
50	0.5598219565
51	0.5595035178
52	0.5592558894
53	0.5588282461
54	0.5586432662
55	0.5582642138
56	0.5578832162
57	0.55754146
58	0.5573580756
59	0.5571498441
60	0.5570082238
61	0.5567638973
62	0.5564719787
63	0.5563277653
64	0.5560974599
65	0.5559711563
66	0.5557579598
67	0.5554103289
68	0.5552902974
69	0.5551777095
70	0.5549795331
71	0.5547949188
72	0.554576011
73	0.5543234413
74	0.5540603051
75	0.5538535761
76	0.5536435414
77	0.5532362645
78	0.5531046668
79	0.5529376316
80	0.5527946754
81	0.5526160031
82	0.5523378619
83	0.5520562947
84	0.5518360261
85	0.551570674
86	0.5513171444
87	0.5511521799
88	0.5509459637
89	0.5508038763
90	0.5506607949
91	0.5504794022
92	0.5501022094
93	0.5499211892
94	0.5497008529
95	0.5494894248
96	0.5494072346
97	0.5491935741
98	0.5490214341
99	0.5486807806
100	0.5484640802
101	0.5482208559
102	0.5480481152
103	0.547915736
104	0.5476801603
105	0.5475205443
106	0.5473954914
107	0.547270504
108	0.5470883509
109	0.5467844092
110	0.5466294647
111	0.5464558044
112	0.5460886063
113	0.5459477025
114	0.5456821365
115	0.5455193292
116	0.5452984233
117	0.5450927256
118	0.5449498919
119	0.5448264582
120	0.5446772927
121	0.544549696
122	0.544264405
123	0.5441343645
124	0.5440394901
125	0.5438862723
126	0.5437419366
127	0.5436038558
128	0.5433402829
129	0.5431744519
130	0.5430885503
131	0.5430007863
132	0.5428469555
133	0.5427434647
134	0.5424826708
135	0.5421836896
136	0.5419994713
137	0.5417578221
138	0.5416222425
139	0.5415188889
140	0.5413206909
141	0.5410812429
142	0.5409735868
143	0.5408911699
144	0.5407744736
145	0.5405797542
146	0.540420391
147	0.5402910617
148	0.5401421856
149	0.5400512028
150	0.5399824239
151	0.5397935283
152	0.5396922791
153	0.5395222315
154	0.5394538428
155	0.5391581741
156	0.5390398273
157	0.5388910527
158	0.5387131848
159	0.5385920267
160	0.5383627298
161	0.5382963682
162	0.5381591816
163	0.538101471
164	0.5380411586
165	0.537898442
166	0.537815575
167	0.5377052076
168	0.5375875674
169	0.5374980939
170	0.5373997906
171	0.5373155875
172	0.5372250095
173	0.5370913162
174	0.5369595495
175	0.5368241967
176	0.5367102825
177	0.5365735994
178	0.5364892518
179	0.5363939897
180	0.5363265512
181	0.5361029863
182	0.5360319445
183	0.5359400918
184	0.5356424282
185	0.5354488793
186	0.5352378057
187	0.5351301923
188	0.5350041462
189	0.5349181948
190	0.5346671473
191	0.5345292911
192	0.5344625646
193	0.5343121247
194	0.5341538575
195	0.5340464691
196	0.5338954444
197	0.5337679153
198	0.5336802818
199	0.533610621
200	0.5334485974
201	0.5333863711
202	0.5332959638
203	0.5331993095
204	0.5330929831
205	0.5330080194
206	0.5329021513
207	0.532824145
208	0.5326973037
209	0.532584579
210	0.5325042457
211	0.5324292873
212	0.532281517
213	0.5322156233
214	0.5321116151
215	0.5320409058
216	0.5319699687
217	0.5318317635
218	0.5317652671
219	0.5316727263
220	0.5315102701
221	0.5313669742
222	0.531251186
223	0.5311855174
224	0.5309845306
225	0.5308636432
226	0.5307753723
227	0.5306797889
228	0.5305072018
229	0.5304430825
230	0.530366278
231	0.5302725819
232	0.5301735248
233	0.529989226
234	0.5299014181
235	0.529815264
236	0.5296039031
237	0.5295256362
238	0.5294249983
239	0.5293706568
240	0.529259926
241	0.529009551
242	0.5289116387
243	0.5287799169
244	0.528583877
245	0.5284543186
246	0.5282901405
247	0.5281894768
248	0.5280752164
249	0.5279624109
250	0.5278403709
251	0.527770489
252	0.5275821483
253	0.5274454518
254	0.5273412262
255	0.5272788682
256	0.5271703526
257	0.5270806286
258	0.5269990296
259	0.5267647977
260	0.52670095
261	0.5266354159
262	0.5265365015
263	0.5264619801
264	0.5264064244
265	0.5262916287
266	0.5261302421
267	0.5260543136
268	0.5258993788
